id;active_alert_id;active_alert_name;active_alert_capacity;active_alert_customer_id;active_alert_dial_number;active_alert_sms_message;active_alert_email_message;active_alert_sms_message_active;active_alert_email_message_active;active_alert_period
1;17301;Horizontal mint;5948;76387;51233;Fish Keyboard Loan;wireless invoice teal;true;true;Yearly
2;62788;Cambridgeshire Handcrafted;57726;59884;64954;quantify;Brand methodology;false;true;Daily
3;62500;transition;41121;28470;67655;Incredible PCI Direct;Pants SMTP;false;true;Weekly
4;6536;Florida;94502;86201;12877;ROI Chips;markets programming;false;true;Yearly
5;23236;Shoes;32212;53253;7526;Senior;Terrace;true;true;Daily
6;90616;Dong Rapids Algeria;75787;40180;96507;Investor Indiana Knolls;Philippines;false;false;Monthly
7;18729;plug-and-play generating card;16308;88428;9485;virtual;Bermuda;true;false;Monthly
8;17696;optimal payment networks;29411;70317;81950;bypassing payment;Account Michigan compress;false;true;Weekly
9;80886;SMTP Chief;42292;24898;37628;Shoes Rial;Roads Computer Pants;false;true;Monthly
10;41517;success;2459;25230;47582;Strategist Riel Director;deposit;false;false;Yearly
